Destination host unreachable;0ms;Sun Nov  7 22:33:17 2021
Destination host unreachable;0ms;Sun Nov  7 22:33:28 2021
General failure;75ms;Sun Nov  7 22:33:57 2021
General failure;0ms;Sun Nov  7 22:34:00 2021
General failure;0ms;Sun Nov  7 22:34:03 2021
General failure;0ms;Sun Nov  7 22:34:13 2021
Destination host unreachable;0ms;Sun Nov  7 22:34:27 2021
Request timed out;85ms;Sun Nov  7 22:34:34 2021
